2026-08-15 00:25:25 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 2/2: LibreTranslate: bad request 400
2026-08-15 00:25:26 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 1/2: LibreTranslate: bad request 400
2026-08-15 00:25:27 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:300 | Provider 'libretranslate' failed attempt 2/2: LibreTranslate: bad request 400
2026-08-15 00:25:29 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:291 | Provider 'libretranslate' hit rate limit: LibreTranslate: rate limit exceeded. Shifting to fallback.
2026-08-15 00:26:37 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:270 | Provider 'mymemory' does not support pair fi->en-us. Updating registry blacklist.
2026-08-15 00:26:37 | ERROR    | shl.engine.translation.router | translate_text:368 | translate_text wrapper: All available translation services failed or timed out within 30.0s. Returning original text as robust fallback.
2026-08-15 00:26:37 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:270 | Provider 'mymemory' does not support pair fi->en-us. Updating registry blacklist.
2026-08-15 00:26:37 | ERROR    | shl.engine.translation.router | translate_text:368 | translate_text wrapper: All available translation services failed or timed out within 30.0s. Returning original text as robust fallback.
2026-08-15 00:26:37 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:270 | Provider 'mymemory' does not support pair fi->en-us. Updating registry blacklist.
2026-08-15 00:26:37 | ERROR    | shl.engine.translation.router | translate_text:368 | translate_text wrapper: All available translation services failed or timed out within 30.0s. Returning original text as robust fallback.
2026-08-15 00:26:37 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:270 | Provider 'mymemory' does not support pair fi->en-us. Updating registry blacklist.
2026-08-15 00:26:37 | ERROR    | shl.engine.translation.router | translate_text:368 | translate_text wrapper: All available translation services failed or timed out within 30.0s. Returning original text as robust fallback.
2026-08-15 00:26:37 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:270 | Provider 'mymemory' does not support pair fi->en-us. Updating registry blacklist.
2026-08-15 00:26:37 | ERROR    | shl.engine.translation.router | translate_text:368 | translate_text wrapper: All available translation services failed or timed out within 30.0s. Returning original text as robust fallback.
2026-08-15 00:26:37 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:270 | Provider 'mymemory' does not support pair fi->en-us. Updating registry blacklist.
2026-08-15 00:26:37 | ERROR    | shl.engine.translation.router | translate_text:368 | translate_text wrapper: All available translation services failed or timed out within 30.0s. Returning original text as robust fallback.
2026-08-15 00:30:00 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:270 | Provider 'mymemory' does not support pair fi->en-us. Updating registry blacklist.
2026-08-15 00:30:00 | ERROR    | shl.engine.translation.router | translate_text:368 | translate_text wrapper: All available translation services failed or timed out within 30.0s. Returning original text as robust fallback.
2026-08-15 00:30:00 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:270 | Provider 'mymemory' does not support pair fi->en-us. Updating registry blacklist.
2026-08-15 00:30:00 | ERROR    | shl.engine.translation.router | translate_text:368 | translate_text wrapper: All available translation services failed or timed out within 30.0s. Returning original text as robust fallback.
2026-08-15 00:30:01 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:270 | Provider 'mymemory' does not support pair fi->en-us. Updating registry blacklist.
2026-08-15 00:30:01 | ERROR    | shl.engine.translation.router | translate_text:368 | translate_text wrapper: All available translation services failed or timed out within 30.0s. Returning original text as robust fallback.
2026-08-15 00:30:01 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:270 | Provider 'mymemory' does not support pair fi->en-us. Updating registry blacklist.
2026-08-15 00:30:01 | ERROR    | shl.engine.translation.router | translate_text:368 | translate_text wrapper: All available translation services failed or timed out within 30.0s. Returning original text as robust fallback.
2026-08-15 00:30:01 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:270 | Provider 'mymemory' does not support pair fi->en-us. Updating registry blacklist.
2026-08-15 00:30:01 | ERROR    | shl.engine.translation.router | translate_text:368 | translate_text wrapper: All available translation services failed or timed out within 30.0s. Returning original text as robust fallback.
2026-08-15 00:30:01 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:270 | Provider 'mymemory' does not support pair fi->en-us. Updating registry blacklist.
2026-08-15 00:30:01 | ERROR    | shl.engine.translation.router | translate_text:368 | translate_text wrapper: All available translation services failed or timed out within 30.0s. Returning original text as robust fallback.
2026-08-15 00:31:23 | WARNING  | shl.engine.translation.router | translate_text_with_metadata:270 | Provider 'mymemory' does not support pair fi->en-us. Updating registry blacklist.
